Дата ;о_Санкт-Петербург;o_Адмиралтейский;o_Васимлеостровский;o_Всеволожский;o_Выборгский;o_Калининский;o_Кировский;o_Колпинский;o_Красногвардейский;o_Красносельский;o_Кронштадтский;o_Курортный;o_Московский;o_Невский;o_Ленобласть;o_Петроградский;o_Петродворцовый;o_Приморский;o_Пушкинский;o_Фрунзенский;o_Центральный;р_Санкт-Петербург;p_Адмиралтейский;p_Василеостровский;p_Всеволожский;p_Выборгский;p_Калининский;p_Кировский ;p_Колпинский;p_Красногвардейский;p_Красносельский;p_Кронштадтский;p_Курортный;p_Московский;p_Невский;p_ЛЕНОБЛАСТЬ;p_Петроградский;p_Петродворцовый ;p_Приморский;p_Пушкинский;p_Фрунзенский ;p_Центральный
okt'20;141.553;145.545;162.647;101.758;135.539;133.399;120.401;92.496;121.244;116.686;97.153;127.742;157.113;126.012;64.606;199.484;100.331;146.927;107.721;130.591;168.244;135.622;158.531;130.354;94.73;127.445;123.729;112.166;92.845;112.421;126.172;153.262;102.862;143.602;127.016;80.774;230.091;88.769;134.329;100.971;143.276;223.323
noja'20;145.309;148.345;168.989;105.024;141.531;139.482;123.491;96.087;127.858;120.836;99.662;130.407;160.47;131.624;66.099;202.862;104.477;151.566;111.276;136.431;170.695;141.152;158.731;137.274;100.363;133.23;130.573;125.058;100.056;117.277;125.013;160.153;109.015;149.656;128.729;81.442;230.855;94.853;142.136;105.899;148.613;228.09
dek'20;149.973;154.485;172.114;110.88;145.503;145.633;129.617;101.085;135.003;127.231;101.181;131.891;164.034;137.596;67.88;213.773;107.314;158.818;115.846;140.539;171.126;147.197;167.531;150.218;101.039;140.58;132.917;130.419;107.041;122.899;125.329;172.84;112.831;149.755;136.821;83.096;247.02;96.835;145.102;106.927;153.17;240.389
janv'21;154.098;159.055;174.487;115.01;144.339;148.772;135.597;105.612;142.14;131.639;105.802;135.715;169.009;142.356;69.831;215.691;109.638;164.22;119.794;144.171;175.061;149.179;171.531;160.665;101.327;145.044;137.709;132.241;111.041;129.217;130.381;172.894;115.407;150.641;137.01;83.214;259.74;100.683;149.488;100.752;158.546;244.667
fev'21;158.461;167.317;179.207;120.747;149.28;153.843;137.733;108.582;146.288;135.898;111.558;142.403;174.09;150.017;68.176;223.261;110.812;168.327;123.675;150.54;178.606;151.838;184.465;165.765;103.327;148.33;135.725;135.102;111.336;130.932;131.476;172.641;120.407;156.786;135.668;81.375;264.714;105.383;150.84;102.537;162.395;257.2
mar'21;161.564;171.897;182.874;127.731;154.314;155.251;141.611;110.587;147.367;139.998;118.408;148.644;176.823;155.63;71.739;245.089;113.436;169.918;128.952;153.754;200.074;156.971;201.536;174.727;106.668;152.939;159.0;150.335;117.249;137.204;140.279;172.641;125.276;171.6;145.282;83.869;285.684;108.617;155.238;112.16;168.153;277.857
apr'21;168.923;176.548;186.27;128.01;154.224;157.25;146.145;110.987;150.046;141.053;121.898;150.194;179.406;158.54;76.153;252.087;115.824;171.291;131.208;156.167;200.551;163.18;207.3;184.827;111.907;161.066;155.413;202.148;123.972;145.239;146.117;181.583;125.459;167.859;143.411;85.201;303.903;120.326;163.328;112.173;180.91;293.903
maj'21;175.822;194.094;194.649;127.799;164.082;163.549;142.524;113.378;152.015;142.922;122.456;153.727;183.262;159.377;80.548;274.34;117.258;175.397;131.708;159.912;199.703;170.135;212.291;192.708;113.907;163.09;158.036;210.733;129.481;148.468;150.701;181.583;122.059;174.383;151.33;89.201;319.546;126.085;170.594;113.252;189.461;298.304
ijun'21;175.635;193.786;196.1;127.321;157.145;163.583;146.488;115.138;154.268;145.451;120.228;161.874;185.012;158.664;78.49;279.515;116.51;175.64;133.921;159.759;206.712;175.323;228.134;191.297;117.121;167.252;202.199;218.497;130.421;157.275;152.543;177.971;120.473;177.935;152.906;90.201;300.175;135.146;177.798;115.464;196.012;312.309
ijul'21;176.529;192.856;194.53;128.447;153.494;163.348;144.595;118.939;158.926;146.817;117.367;163.626;185.681;161.398;79.355;279.481;118.102;180.345;134.578;161.843;200.851;176.573;241.723;201.675;120.047;163.915;214.113;236.636;128.921;159.909;152.779;182.96;108.448;183.0;151.945;90.434;298.453;145.674;175.244;116.921;190.385;323.521
avg'21;175.056;189.35;205.242;128.256;158.484;168.461;144.599;120.68;162.873;147.98;119.529;165.197;188.934;165.783;81.752;263.115;121.585;181.055;139.038;165.896;205.199;180.229;247.611;189.542;123.58;168.801;201.667;246.869;130.255;165.933;153.295;0.0;114.108;186.96;154.279;93.636;293.999;146.841;189.863;122.562;193.365;300.528
sen'21;172.698;196.803;190.561;129.015;165.722;169.528;145.493;121.371;152.446;147.203;127.401;166.1;188.065;161.545;86.004;252.193;116.001;177.922;148.249;161.929;195.392;179.544;247.529;190.551;124.386;165.419;207.608;259.161;131.912;169.223;157.215;0.0;125.017;192.019;153.665;94.9;292.94;161.796;190.775;116.417;193.314;273.228
okt'21;173.837;198.95;200.808;129.14;171.462;173.292;152.794;122.763;160.602;148.719;131.466;172.449;191.943;163.256;87.411;247.641;121.462;181.352;145.293;163.308;203.021;182.578;255.098;200.704;125.033;176.48;226.302;251.042;135.451;169.331;161.264;0.0;124.886;192.243;153.696;98.462;305.763;175.031;195.505;118.13;196.442;288.563
noja'21;172.865;202.734;202.564;128.719;171.504;173.225;148.578;123.976;161.395;148.893;130.434;174.825;190.496;163.626;85.627;254.733;122.878;180.749;145.737;164.723;208.311;183.957;248.487;205.155;126.288;170.351;234.896;265.213;139.162;173.389;166.43;0.0;127.419;182.022;159.791;99.031;327.198;174.265;197.444;122.022;195.933;295.657
dek'21;173.712;203.6;200.261;129.455;168.51;173.606;151.261;126.384;160.235;150.632;131.756;172.678;190.742;164.487;87.19;259.156;124.216;181.949;144.236;169.418;212.161;185.15;249.099;210.945;126.821;170.237;236.751;264.814;142.454;167.97;167.836;0.0;127.131;182.151;162.327;102.302;350.042;183.759;197.397;125.038;210.732;315.526
janv'22;173.833;210.522;211.828;132.737;170.501;174.508;153.909;127.105;161.307;151.311;131.914;171.242;191.02;164.413;88.43;260.412;125.004;182.669;146.283;170.779;213.013;186.063;244.508;216.754;134.496;170.997;238.087;275.515;145.343;168.794;173.7;0.0;131.063;190.589;169.287;103.996;353.195;193.79;198.06;129.495;214.26;337.236
fev'22;175.807;206.602;214.147;133.384;172.402;175.093;156.17;128.308;166.085;152.01;133.765;168.869;194.422;168.866;91.769;261.545;126.707;188.457;147.652;176.493;217.956;186.472;247.396;236.563;135.522;172.044;238.34;280.414;147.635;175.373;178.539;0.0;141.48;198.226;176.556;106.014;374.139;197.459;199.564;136.414;216.222;352.855
mar'22;184.743;210.55;226.295;140.334;180.193;182.814;162.829;145.797;174.42;157.266;134.868;175.45;203.071;176.34;96.254;274.475;131.822;198.488;152.926;181.592;221.833;196.444;275.582;255.101;148.669;189.462;268.317;319.631;155.927;176.719;200.347;0.0;141.852;226.288;190.846;122.321;381.207;215.8;206.366;140.054;214.674;395.975
apr'22;201.437;238.478;226.615;160.379;201.895;195.761;184.969;141.233;188.973;179.831;142.603;190.326;216.394;196.032;97.307;296.854;146.012;218.865;164.607;195.403;252.729;205.328;302.222;266.753;156.839;197.362;283.177;318.92;160.694;180.066;215.186;0.0;139.758;256.805;213.317;124.714;407.814;217.453;228.093;145.88;233.876;370.588
maj'22;198.015;240.5;225.448;162.638;197.464;198.252;191.917;141.148;185.295;175.182;152.31;191.774;213.126;192.136;95.175;286.182;146.318;210.525;158.547;195.672;241.537;209.796;298.966;260.586;154.901;225.122;287.183;282.356;159.747;181.205;217.372;0.0;140.874;256.456;219.114;126.382;409.479;222.432;221.99;142.717;241.345;389.454
ijun'22;198.051;240.622;219.101;160.528;196.137;193.547;187.651;148.299;188.495;180.133;136.87;191.075;214.078;202.517;97.768;286.362;145.018;221.399;160.185;194.259;252.933;202.3;294.56;269.259;145.054;201.607;261.849;282.24;158.584;180.456;213.674;0.0;143.556;252.907;214.771;130.354;419.739;223.23;211.037;145.518;242.865;382.344
ijul'22;199.949;250.066;214.41;160.604;191.371;194.867;189.475;142.493;185.18;180.02;143.919;187.9;208.905;196.436;97.899;292.484;147.111;216.064;160.247;191.664;250.997;202.336;295.177;280.823;145.591;200.011;259.511;291.229;166.563;181.387;225.726;0.0;144.435;240.757;222.608;128.259;425.729;223.482;205.261;148.45;241.557;418.68
avg'22;199.807;255.299;223.192;158.144;196.459;190.922;190.293;144.652;185.516;180.5;141.521;193.03;215.215;196.216;95.991;295.49;145.345;221.115;158.966;192.442;247.465;206.747;303.892;286.147;148.132;206.239;264.236;284.376;170.823;182.395;225.646;0.0;148.552;241.833;220.904;137.238;426.739;217.453;202.432;159.511;249.469;478.547
sen'22;198.503;253.331;216.013;158.496;191.479;189.308;186.938;147.767;182.828;176.749;148.785;197.472;209.897;191.469;98.184;295.675;146.53;216.187;159.059;190.861;249.358;213.516;299.688;276.4;159.776;208.737;262.39;327.115;168.574;179.788;215.04;0.0;146.138;241.825;225.481;136.685;427.403;224.439;225.073;155.935;253.402;470.109
okt'22;197.328;251.39;215.223;156.718;190.017;188.556;184.809;145.247;181.281;173.742;147.189;188.721;207.061;190.041;98.373;290.035;144.447;216.781;156.793;190.409;253.414;218.584;291.373;276.274;159.622;205.889;255.54;273.728;169.218;180.165;201.466;0.0;128.49;235.95;234.481;133.435;425.853;214.65;227.962;154.815;244.958;435.527
noja'22;195.506;248.336;213.341;153.436;188.599;188.28;182.4;146.436;181.216;171.893;144.074;182.606;204.721;189.429;97.74;287.071;142.98;214.894;158.051;192.258;257.526;218.195;292.483;274.614;159.192;223.908;249.981;269.405;165.171;181.379;201.867;0.0;143.787;237.742;231.469;131.709;414.451;192.397;226.144;153.984;233.803;436.915
dek'22;195.401;244.021;211.696;151.374;185.778;185.926;182.667;144.264;182.105;172.04;141.628;188.416;203.975;187.485;96.504;286.062;139.4;214.088;156.914;193.286;239.988;222.623;287.615;273.02;158.309;224.816;252.301;267.236;164.161;188.592;200.221;0.0;134.66;236.835;228.801;133.019;419.785;191.556;230.253;154.453;234.251;444.114
janv'23;195.349;243.765;209.921;148.767;187.155;185.014;181.596;146.989;179.918;171.641;144.1;188.842;204.027;190.431;97.376;279.601;141.399;214.461;155.514;193.893;241.426;222.52;283.632;247.019;160.549;225.958;254.359;260.538;167.097;189.071;202.623;0.0;139.715;231.669;227.153;138.056;393.962;194.493;230.527;154.912;239.744;434.973
fev'23;194.346;241.086;207.695;149.381;187.016;185.799;179.899;145.098;177.806;170.662;141.226;189.973;203.416;188.333;96.245;275.747;140.355;214.893;155.177;193.842;241.019;217.818;284.59;236.566;160.539;224.588;255.139;235.752;172.104;169.015;200.866;0.0;154.251;230.497;224.273;132.58;394.346;195.849;225.838;160.535;234.619;449.681
mar'23;193.929;239.659;208.153;149.089;187.016;187.672;181.429;148.433;175.251;170.6;144.304;194.958;203.122;185.748;95.817;271.061;141.163;212.719;156.592;192.401;239.449;219.862;280.118;238.914;160.348;223.744;254.683;230.68;163.839;175.005;203.888;0.0;169.564;229.251;227.857;134.128;392.974;193.183;226.468;161.486;237.433;452.484
apr'23;192.893;241.463;207.978;149.462;186.176;189.467;177.396;151.059;172.173;168.533;136.503;192.81;204.293;185.938;94.857;282.988;139.434;210.972;155.888;193.807;249.129;222.861;282.724;241.913;157.325;228.611;254.059;234.504;166.284;178.824;200.253;0.0;168.708;228.546;227.977;131.709;385.382;194.19;219.972;155.143;234.4;452.185
maj'23;192.528;239.019;208.531;148.573;186.147;187.924;176.236;155.349;172.423;168.13;135.171;189.85;204.857;184.363;94.102;282.836;139.544;210.279;153.01;190.83;248.496;217.463;283.589;235.934;155.344;251.479;251.715;249.414;169.591;175.884;202.469;0.0;161.619;233.085;224.401;127.747;396.835;194.502;226.038;157.235;244.676;420.249
ijun'23;192.639;242.178;208.604;148.033;187.726;187.225;172.696;150.885;172.782;167.818;142.703;190.603;208.112;181.648;94.557;289.377;138.755;209.93;153.695;193.923;246.776;219.321;285.112;238.127;156.107;253.604;244.521;239.35;169.985;173.969;206.553;0.0;177.403;231.122;224.049;126.578;395.503;195.202;226.9;157.776;243.554;425.517
ijul'23;194.566;246.7;214.569;149.137;187.553;188.649;175.531;151.047;172.753;167.867;147.035;190.612;208.455;182.784;95.538;306.929;136.885;213.315;155.205;193.08;249.634;221.443;287.91;239.168;158.785;249.313;249.401;237.295;168.296;175.38;208.784;0.0;178.802;230.982;225.849;126.722;397.334;195.115;226.753;164.264;243.491;428.301
avg'23;195.501;245.312;215.938;149.993;192.111;192.434;176.333;153.112;173.336;168.843;149.764;191.926;209.283;183.26;95.346;307.956;141.734;212.897;154.877;195.113;248.479;223.097;287.751;242.006;157.991;255.082;262.898;288.241;168.002;185.173;219.264;0.0;173.912;229.649;222.423;124.983;397.806;195.287;227.089;165.986;240.791;449.011
sen'23;197.624;248.369;219.093;151.562;195.208;191.283;179.346;152.663;175.277;172.804;151.448;191.3;213.687;185.57;93.628;305.613;134.689;214.754;155.547;194.081;248.527;228.691;287.45;252.614;157.517;259.987;275.977;0.0;167.848;187.122;207.646;0.0;177.745;251.261;231.54;131.935;403.575;196.945;232.979;166.748;241.686;445.616
okt'23;198.616;248.882;221.116;151.983;195.268;194.471;179.065;148.132;177.218;171.888;149.415;192.911;216.205;185.85;94.514;311.915;135.067;215.665;159.463;194.475;246.612;229.109;275.215;258.237;152.162;248.596;274.536;0.0;177.479;205.085;204.302;0.0;192.877;257.027;235.005;130.986;407.867;190.126;242.936;167.801;235.38;444.831
noja'23;198.954;251.449;225.024;153.895;195.626;195.781;180.265;147.189;175.115;172.842;162.364;193.366;215.353;187.643;96.169;319.304;137.961;215.49;160.442;194.011;244.225;234.362;278.198;271.588;150.871;230.094;272.235;0.0;183.905;210.917;204.725;0.0;190.836;249.545;230.834;136.842;414.048;196.977;229.675;166.356;272.081;443.31
dek'23;199.934;256.702;230.079;154.384;196.095;194.629;178.687;148.257;175.735;173.794;164.645;193.963;217.16;189.495;96.073;314.183;137.464;216.244;161.851;195.705;245.749;237.839;296.002;282.396;142.252;226.847;271.729;0.0;185.376;203.543;218.497;0.0;203.71;247.55;230.118;130.8;418.191;199.11;227.085;171.045;282.945;445.647
janv'24;200.795;256.21;236.674;155.451;197.711;196.38;179.975;149.284;176.425;173.227;165.489;194.717;215.612;190.775;97.473;309.659;140.111;218.187;163.634;199.673;248.608;240.331;302.194;289.732;147.612;233.437;273.161;0.0;180.512;204.645;216.385;0.0;194.506;252.215;240.324;128.175;427.357;195.952;230.682;172.501;299.834;431.607
fev'24;201.092;260.998;249.475;156.724;196.81;198.61;182.641;147.231;178.027;177.866;166.208;192.806;216.462;191.617;99.292;313.628;140.854;216.202;162.799;201.244;247.209;246.064;311.777;300.682;151.688;239.368;269.041;0.0;176.559;216.052;238.491;0.0;198.392;251.601;239.04;140.52;434.197;202.914;238.146;173.805;298.845;433.385
mar'24;201.026;265.236;245.509;156.169;197.284;198.789;181.042;143.2;179.98;176.566;164.774;194.103;217.286;193.556;99.263;312.434;144.279;215.549;162.525;203.414;251.182;246.343;340.938;304.932;152.187;239.072;271.696;0.0;174.248;216.049;233.185;0.0;196.934;247.878;244.886;141.79;440.238;205.06;237.317;174.641;284.31;436.88
apr'24;202.55;264.727;244.817;156.897;202.213;200.758;181.601;144.911;181.805;175.443;167.478;191.203;218.143;194.022;99.267;304.599;141.984;217.408;164.144;202.496;256.153;246.075;351.031;308.063;152.018;238.286;271.459;231.35;182.799;218.028;232.93;0.0;195.526;246.972;245.634;143.06;443.516;206.275;239.574;174.154;289.097;443.711
maj'24;202.846;266.811;246.448;156.59;201.656;198.571;182.877;144.444;181.153;178.017;166.505;188.46;218.933;193.727;99.344;305.634;143.017;218.669;164.045;201.863;259.87;247.787;358.088;330.76;154.047;244.409;276.073;0.0;184.33;223.112;232.972;0.0;193.664;255.54;242.793;145.159;455.317;207.036;234.468;174.784;291.803;462.191
ijun'24;202.746;267.619;247.604;156.84;201.803;197.288;181.931;144.788;182.359;178.459;163.781;189.561;219.447;193.448;99.131;304.639;144.469;218.564;162.891;199.748;259.616;246.293;385.756;329.017;157.042;235.15;281.681;0.0;180.91;224.335;236.366;298.629;200.702;257.787;245.351;144.312;489.441;207.731;231.471;173.926;331.853;463.048
ijul'24;199.412;272.888;247.726;149.951;200.443;185.061;172.534;144.825;179.772;171.246;154.199;187.999;217.445;188.895;92.926;307.369;143.292;219.54;160.297;188.498;254.571;244.626;403.253;332.728;159.049;238.631;283.123;0.0;183.743;223.682;239.567;295.617;204.633;264.659;265.19;141.169;492.404;212.205;233.024;180.373;326.02;513.636
avg'24;201.264;275.569;255.49;151.587;202.382;187.198;174.701;144.748;182.844;172.864;160.335;192.04;213.677;190.302;94.966;317.699;140.39;222.568;162.468;189.412;256.17;242.34;394.292;336.592;156.194;226.726;291.142;0.0;167.726;222.065;251.98;302.227;224.032;261.372;268.68;140.072;500.08;223.262;229.966;182.412;320.062;519.512
sen'24;201.185;264.358;262.845;151.265;200.515;189.0;177.837;149.539;178.332;170.449;167.103;190.631;213.019;190.329;94.977;325.362;139.827;223.578;163.545;195.051;260.251;241.187;388.468;334.705;155.386;224.722;290.75;301.372;165.768;225.188;244.586;300.116;236.187;274.248;270.62;141.988;526.994;222.982;229.852;189.013;317.456;523.056
okt'24;199.802;269.169;264.713;148.992;197.318;190.506;175.011;148.268;180.912;165.462;160.146;196.797;212.529;189.137;93.793;328.411;140.833;221.573;165.899;200.871;272.743;243.365;392.052;339.389;156.706;235.26;300.047;0.0;166.9;239.94;259.326;300.651;236.945;289.087;282.191;145.568;531.585;221.485;235.57;187.643;323.368;525.475
noja'24;200.967;264.324;268.206;148.103;198.758;188.989;174.507;150.126;179.405;165.819;162.322;197.432;217.746;189.428;93.703;330.219;142.231;221.883;164.841;200.552;276.135;245.99;405.468;350.823;159.739;240.444;302.377;0.0;169.777;240.048;256.912;272.119;250.667;290.299;301.436;146.956;553.08;212.785;255.339;190.674;330.626;545.964
dek'24;203.115;268.373;265.363;149.584;202.748;196.891;175.714;149.46;181.209;170.98;161.971;197.662;218.845;194.016;95.925;331.503;142.145;224.449;165.383;202.876;273.476;248.603;399.307;355.102;158.488;249.021;305.903;0.0;174.031;228.047;255.898;272.421;254.083;282.626;294.717;147.102;587.769;223.361;258.317;203.378;330.467;567.343
janv'25;202.463;271.403;271.329;149.906;203.008;192.574;175.166;147.603;178.355;167.918;169.529;198.646;213.876;192.684;93.542;324.391;143.582;224.034;166.999;206.505;266.548;250.132;396.302;363.292;159.75;256.136;307.852;0.0;174.049;241.263;251.726;272.823;261.333;296.363;292.639;146.732;619.06;224.695;257.658;198.62;338.893;575.577
fev'25;205.124;277.395;267.128;149.446;207.042;196.931;176.281;150.817;179.173;169.917;159.755;197.926;217.782;197.891;93.775;314.768;143.735;227.957;165.25;205.336;267.976;257.267;406.126;373.888;162.051;256.657;309.266;0.0;173.009;242.802;250.706;258.801;262.036;293.964;276.874;149.486;628.002;227.219;245.118;200.742;338.546;594.155
mar'25;203.273;271.526;269.924;150.608;206.722;195.759;173.691;151.853;178.122;169.18;168.028;196.623;217.33;195.379;94.099;314.303;146.654;226.266;164.017;204.056;273.342;262.999;403.797;368.568;162.299;249.974;307.755;0.0;171.184;233.926;234.164;255.765;269.573;292.426;282.658;153.763;616.75;233.65;245.164;201.319;341.801;583.443
apr'25;201.533;269.017;266.814;150.482;207.916;192.544;171.094;143.454;176.001;168.841;157.249;196.258;213.564;193.054;94.897;298.385;148.81;227.43;164.681;188.819;256.822;268.651;404.407;375.828;166.3;246.666;308.568;0.0;167.758;236.892;255.347;248.323;318.146;307.054;286.518;156.122;603.209;233.528;239.74;202.55;360.752;595.175
maj'25;206.102;270.303;268.214;150.758;209.723;193.237;173.533;149.247;179.317;170.572;165.792;197.344;217.274;199.842;95.402;306.655;150.205;229.385;164.007;192.138;270.597;267.836;433.582;377.454;165.284;251.86;309.152;0.0;166.962;245.991;274.477;250.327;342.141;307.718;289.679;145.365;614.438;232.457;232.025;205.381;361.159;576.23
ijun'25;205.778;271.909;271.869;148.983;208.753;187.138;175.91;149.8;176.222;171.144;156.599;203.031;216.542;199.851;94.747;300.581;152.728;228.401;161.88;191.789;270.137;277.877;440.852;392.892;163.197;260.848;319.447;0.0;172.529;253.936;269.645;236.936;334.322;307.818;299.526;155.486;625.599;235.178;244.516;206.014;349.097;588.15
ijul'25;205.707;277.444;288.201;150.099;212.243;187.379;169.634;148.819;180.131;170.592;159.543;197.098;217.807;198.918;94.622;297.571;150.461;230.025;163.983;190.93;277.981;266.982;465.729;395.06;165.377;252.625;314.584;0.0;173.982;257.895;264.759;243.402;332.006;310.095;302.221;160.811;624.506;232.642;233.535;208.704;355.19;616.553
